,Credibility_Rank,Traffic_Rank,Bias_Rank,Factual_Reporting,Questionable,NaNs_Per_Row,Avrg_Per_Row
35,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
36,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
37,1.0,1.0,0.0,1.0,['No Data'],0,0.6
38,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
39,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
40,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
41,-1.0,1.0,-1.0,-1.0,-0.35714285714285715,0,-0.4
42,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
43,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
44,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
45,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
46,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
47,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
48,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
49,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
50,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
51,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
52,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
53,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
54,1.0,-1.0,0.0,1.0,['No Data'],0,0.2
55,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
56,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
57,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
58,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
59,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
60,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
61,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
62,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
63,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
64,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
65,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
66,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
67,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
68,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
69,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
70,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
71,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
72,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
73,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
74,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
75,-1.0,1.0,-1.0,-1.0,-0.35714285714285715,0,-0.4
76,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
77,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
78,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
79,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
80,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
81,1.0,-1.0,0.0,1.0,['No Data'],0,0.2
82,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
83,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
84,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
85,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
86,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
87,1.0,-1.0,0.0,1.0,['No Data'],0,0.2
88,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
89,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
90,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
91,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
92,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
93,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
94,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
95,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
96,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
97,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
98,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
99,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
100,1.0,1.0,0.0,1.0,['No Data'],0,0.6
101,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
102,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
103,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
104,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
105,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
106,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
107,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
108,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
109,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
110,-1.0,-1.0,-1.0,-1.0,-0.21428571428571427,0,-0.8
111,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
112,1.0,1.0,0.0,1.0,['No Data'],0,0.6
113,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
114,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
115,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
116,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
117,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
118,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
119,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
120,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
121,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
122,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
123,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
124,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
125,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
126,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
127,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
128,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
129,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
130,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
131,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
132,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
133,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
134,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
135,1.0,1.0,0.0,1.0,['No Data'],0,0.6
136,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
137,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
138,-1.0,1.0,-1.0,-1.0,-0.35714285714285715,0,-0.4
139,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
140,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
141,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
142,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
143,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
144,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
145,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
146,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
147,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
148,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
149,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
150,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
151,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
152,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
153,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
154,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
155,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
156,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
157,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
158,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
159,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
160,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
161,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
162,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
163,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
164,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
165,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
166,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
167,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
168,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
169,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
170,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
171,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
172,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
173,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
174,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
175,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
176,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
177,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
178,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
179,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
180,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
181,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
182,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
183,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
184,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
185,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
186,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
187,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
188,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
189,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
190,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
191,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
192,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
193,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
194,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
195,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
196,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
197,-1.0,-1.0,-1.0,-1.0,-0.6428571428571429,0,-0.8
198,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
199,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
200,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
201,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
202,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
203,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
204,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
205,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
206,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
207,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
208,1.0,-1.0,0.0,1.0,['No Data'],0,0.2
209,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
210,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
211,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
212,1.0,1.0,0.0,1.0,['No Data'],0,0.6
213,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
214,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
215,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
216,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
217,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
218,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
219,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
220,1.0,1.0,0.0,1.0,['No Data'],0,0.6
221,1.0,1.0,0.0,1.0,['No Data'],0,0.6
222,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
223,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
224,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
225,-1.0,1.0,-1.0,-1.0,-0.35714285714285715,0,-0.4
226,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
227,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
228,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
229,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
230,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
231,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
232,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
233,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
234,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
235,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
236,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
237,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
238,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
239,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
240,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
241,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
242,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
243,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
244,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
245,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
246,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
247,-1.0,-1.0,-1.0,-1.0,-0.21428571428571427,0,-0.8
248,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
249,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
250,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
251,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
252,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
253,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
254,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
255,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
256,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
257,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
258,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
259,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
260,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
261,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
262,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
263,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
264,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
265,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
266,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
267,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
268,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
269,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
270,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
271,-1.0,-1.0,-1.0,-1.0,-0.6428571428571429,0,-0.8
272,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
273,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
274,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
275,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
276,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
277,1.0,1.0,0.0,1.0,['No Data'],0,0.6
278,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
279,1.0,1.0,0.0,1.0,['No Data'],0,0.6
280,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
281,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
282,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
283,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
284,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
285,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
286,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
287,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
288,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
289,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
290,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
291,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
292,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
293,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
294,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
295,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
296,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
297,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
298,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
299,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
300,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
301,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
302,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
303,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
304,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
305,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
306,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
307,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
308,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
309,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
310,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
311,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
312,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
313,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
314,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
315,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
316,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
317,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
318,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
319,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
320,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
321,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
322,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
323,0.0,1.0,-1.0,0.0,['No Data'],1,-0.2
324,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
325,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
326,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
327,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
328,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
329,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
330,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
331,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
332,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
333,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
334,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
335,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
336,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
337,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
338,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
339,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
340,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
341,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
342,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
343,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
344,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
345,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
346,-1.0,1.0,-1.0,-1.0,-0.5,0,-0.4
347,1.0,1.0,0.0,1.0,['No Data'],0,0.6
348,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
349,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
350,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
351,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
352,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
353,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
354,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
355,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
356,-1.0,-1.0,-1.0,-1.0,-0.6428571428571429,0,-0.8
357,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
358,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
359,-1.0,-1.0,-1.0,-1.0,-0.42857142857142855,0,-0.8
360,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
361,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
362,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
363,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
364,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
365,1.0,1.0,0.0,1.0,['No Data'],0,0.6
366,-1.0,-1.0,-1.0,-1.0,-0.21428571428571427,0,-0.8
367,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
368,-1.0,1.0,-1.0,-1.0,-0.42857142857142855,0,-0.4
369,-1.0,1.0,-1.0,-1.0,-0.7142857142857143,0,-0.4
370,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
371,-1.0,-1.0,-1.0,-1.0,-0.2857142857142857,0,-0.8
372,-1.0,-1.0,-1.0,-1.0,-0.5,0,-0.8
373,1.0,1.0,0.0,1.0,['No Data'],0,0.6
374,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
375,1.0,1.0,0.0,1.0,['No Data'],0,0.6
376,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
377,1.0,1.0,0.0,1.0,['No Data'],0,0.6
378,1.0,1.0,0.0,1.0,['No Data'],0,0.6
379,1.0,1.0,0.0,1.0,['No Data'],0,0.6
380,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
381,-1.0,-1.0,-1.0,-1.0,-0.35714285714285715,0,-0.8
382,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
383,1.0,1.0,0.0,1.0,['No Data'],0,0.6
384,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
385,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
386,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
387,-1.0,-1.0,-1.0,-1.0,-0.6428571428571429,0,-0.8
388,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
389,0.0,0.0,0.0,0.0,['No Data'],5,-1.0
390,-1.0,1.0,-1.0,-1.0,-0.6428571428571429,0,-0.4
391,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
392,-1.0,-1.0,0.0,-1.0,['No Data'],0,-0.6
393,-1.0,1.0,0.0,-1.0,['No Data'],0,-0.2
