"ip","fetch_error","bogon","hostname","anycast","city","region","country","postal","loc","timezone","asn","asn_name","asn_domain","asn_route","asn_type","abuse_address","abuse_country","abuse_email","abuse_name","abuse_network","abuse_phone","company_name","company_domain","company_type","carrier_name","carrier_mcc","carrier_mnc","is_vpn","is_proxy","is_tor","is_relay","is_hosting","privacy_service"
"66.147.230.40",,,"dirapp58.directorysecure.com",,"Clifton Park","New York","US","12065","42.8656,-73.7709","America/New_York","AS23535","HostRocket.com, Inc.","hostrocket.com","66.147.224.0/20","hosting","US, NY, Clifton Park, 21 Corporate Drive - Suite 203, 12065","US","john@hostrocket.com","John Reyes","66.147.224.0/20","+1-518-371-3421","HostRocket Web Services","hostrocket.com","hosting",,,,false,false,false,false,true,""
"23.138.144.51",,,,,"Charlotte","North Carolina","US","28202","35.2271,-80.8431","America/New_York","AS31799","Samaritan's Purse","samaritan.org","23.138.144.0/24","business","US, NC, Boone, PO Box 3000, 28607","US","spipabuse@samaritan.org","SP ABUSE POC","23.138.144.0/24","+1-828-262-1980","Samaritan's Purse","samaritanspurse.org","business",,,,false,false,false,false,false,""
"161.199.16.188",,,"trib247.com",,"Washington","Washington, D.C.","US","20004","38.8951,-77.0364","America/New_York","AS36351","SoftLayer Technologies Inc.","softlayer.com","161.199.16.0/24","hosting","US, NY, Massapequa Park, 4940 Merrick Road Suite 204, 11762","US","larry@psycloneinc.com","Larry Ward","161.199.16.0/24","+1-202-558-0080","Psyclone Media, Inc.","psycloneinc.com","business",,,,false,false,false,false,false,""
"192.0.78.136",,,,true,"San Francisco","California","US","94110","37.7509,-122.4153","America/Los_Angeles","AS2635","Automattic, Inc","automattic.com","192.0.78.0/24","hosting","US, CA, San Francisco, 60 29th Street #343, 94110","US","abuse@automattic.com","Abuse","192.0.64.0/18","+1-877-273-8550","Automattic, Inc","automattic.com","hosting",,,,false,false,false,false,true,""
"104.26.8.55",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.26.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"172.67.75.143",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.64.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"172.67.134.90",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.128.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"64.68.204.24",,,"sites.bombthrower.media",,"Toronto","Ontario","CA","M8X","43.6518,-79.5076","America/Toronto","AS16686","easyDNS Technologies, Inc.","easydns.com","64.68.204.0/24","business","CA, ON, Toronto, 4243C Dundas Street West, Suite 405, Etobicoke, Canada, M8X 1Y3","CA","arin@easydns.com","ARIN Admin","64.68.192.0/20","+1-416-535-8672","easyDNS Technologies, Inc.","easydns.com","business",,,,false,false,false,false,false,""
"199.83.129.111",,,"199.83.129.111.ip.incapdns.net",true,"Redwood City","California","US","94065","37.5331,-122.2486","America/Los_Angeles","AS19551","Incapsula Inc","incapsula.com","199.83.129.0/24","hosting","US, CA, Redwood Shore, 3400 Bridge Parkway, Suite 200, 94065","US","abuse@incapsula.com","Imperva AbuseDesk","199.83.128.0/21","+1-866-250-7659","Incapsula Inc","imperva.com","hosting",,,,false,false,false,false,true,""
"172.67.72.20",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.64.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"64.225.114.185",,,"397145.cloudwaysapps.com",,"Santa Clara","California","US","95051","37.3483,-121.9844","America/Los_Angeles","AS14061","DigitalOcean, LLC","digitalocean.com","64.225.112.0/20","hosting","US, NY, New York, 101, Ave of the Americas, 10013","US","abuse@digitalocean.com","DigitalOcean Abuse","64.225.0.0/17","+1-347-875-6044","DigitalOcean, LLC","digitalocean.com","hosting",,,,false,false,false,false,true,""
"104.22.1.202",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.22.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"162.215.212.74",,,"5522751.votefinchem.com",,"Phoenix","Arizona","US","85001","33.4484,-112.0740","America/Phoenix","AS46606","Unified Layer","endurance.com","162.214.0.0/15","hosting","US, UT, Provo, 1958 South 950 East, 84606","US","abuse@bluehost.com","Network Operations Center","162.214.0.0/15","+1-801-765-9400","Unified Layer","unifiedlayer.com","hosting",,,,false,false,false,false,true,""
"172.67.69.198",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.64.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"96.126.114.24",,,"riseattireusa.com",,"Richardson","Texas","US","75080","32.9482,-96.7297","America/Chicago","AS63949","Linode, LLC","linode.com","96.126.112.0/20","hosting","US, PA, Philadelphia, 249 Arch St, 19106","US","abuse@linode.com","Linode Abuse Support","96.126.96.0/19","+1-609-380-7100","Linode","linode.com","hosting",,,,false,false,false,false,true,""
"216.230.115.234",,,,,"Washington","Washington, D.C.","US","20004","38.8951,-77.0364","America/New_York","AS17054","CONTINENTAL BROADBAND PENNSYLVANIA, INC.","expedient.com","216.230.96.0/19","isp","US, PA, Pittsburgh, 810 Parish Street, 15220","US","operations-support@expedient.com","Network Services","216.230.96.0/19","+1-888-227-9400","DataPoint","datapointinc.com","business",,,,false,false,false,false,false,""
"35.209.162.63",,,"63.162.209.35.bc.googleusercontent.com",,"Council Bluffs","Iowa","US","51502","41.2619,-95.8608","America/Chicago","AS15169","Google LLC","google.com","35.208.0.0/15","hosting","US, CA, Mountain View, 1600 Amphitheatre Parkway, 94043","US","google-cloud-compliance@google.com","GC Abuse","35.208.0.0-35.247.255.255","+1-650-253-0000","Google LLC","google.com","hosting",,,,false,false,false,false,true,""
"52.222.139.90",,,"server-52-222-139-90.ams50.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","52.222.136.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","52.222.128.0/17","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"172.67.74.246",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.64.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"104.19.177.74",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.19.176.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"192.124.249.117",,,"cloudproxy10117.sucuri.net",true,"Menifee","California","US","92584","33.7283,-117.1464","America/Los_Angeles","AS30148","Sucuri","sucuri.net","192.124.249.0/24","hosting","US, AZ, TEMPE, 2155 E GODADDY  WAY, 85284","US","soc@sucuri.net","Security Operations Center","192.124.249.0/24","+1-951-234-3945","Sucuri","sucuri.net","hosting",,,,false,false,false,false,true,""
"104.18.1.50",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.18.0.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"104.20.85.39",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.20.80.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"52.222.139.22",,,"server-52-222-139-22.ams50.r.cloudfront.net",,"Amsterdam","North Holland","NL","1012","52.3740,4.8897","Europe/Amsterdam","AS16509","Amazon.com, Inc.","amazon.com","52.222.136.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","52.222.128.0/17","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"172.67.73.62",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.64.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"74.208.236.195",,,"74-208-236-195.elastic-ssl.ui-r.com",,"Kansas City","Missouri","US","64106","39.0997,-94.5786","America/Chicago","AS8560","IONOS SE","ionos.com","74.208.0.0/16","hosting","US, PA, Chesterbrook, 701 Lee Road, Suite 300, 19087","US","abuse@1and1.com","1and1 Abuse Department","74.208.0.0/16","+1-877-206-4253","IONOS Inc.","ionos.com","hosting",,,,false,false,false,false,true,""
"212.58.249.144",,,"bbc-vip082.lbh.bbc.co.uk",,"London","England","GB","EC1A","51.5085,-0.1257","Europe/London","AS2818","BBC","bbc.com","212.58.224.0/19","isp","British Broadcasting Corporation, BBC Centre House, 56 Wood Lane, London, W12 7SB, England, GB","GB","abuse@bbc.co.uk","BBC Internet Services Abuse","212.58.224.0/19","+441618360000","BBC","bbc.com","isp",,,,false,false,false,false,false,""
"18.155.153.28",,,"server-18-155-153-28.ham50.r.cloudfront.net",,"Hamburg","Hamburg","DE","20038","53.5507,9.9930","Europe/Berlin","AS16509","Amazon.com, Inc.","amazon.com","18.155.152.0/21","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","18.154.0.0/15","+1-206-555-0000","Amazon.com, Inc.","amazon.com","hosting",,,,false,false,false,false,true,""
"192.115.80.55",,,,,"Giv'at Shmuel","Tel Aviv","IL",,"32.0782,34.8486","Asia/Jerusalem","AS12619","Yediot Information Technologies ltd","yit.co.il","192.115.80.0/24","business","Internet Society of Israel (ISOC-IL), Bareket 6, Petach Tikva, Israel","IL","abuse@isoc.org.il","Abuse Contact","192.115.80.0/22","+972 3 9700900","Yediot Technologies","y-i.co.il","hosting",,,,false,false,false,false,true,""
"172.67.25.6",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","172.67.16.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","172.64.0.0/13","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
"3.67.141.185",,,"ec2-3-67-141-185.eu-central-1.compute.amazonaws.com",,"Frankfurt am Main","Hesse","DE","60326","50.1025,8.6299","Europe/Berlin","AS16509","Amazon.com, Inc.","amazon.com","3.64.0.0/12","hosting","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","3.64.0.0/12","+1-206-555-0000","A100 ROW GmbH","amazon.com","hosting",,,,false,false,false,false,true,""
"108.160.154.173",,,"jesussaves.onlineministries.net",,"Lexington","North Carolina","US","27292","35.8240,-80.2534","America/New_York","AS63410","PrivateSystems Networks","privatesystems.net","108.160.152.0/22","hosting","US, PA, West Chester, 1379 Dilworthtown Crossing, Suite 214, 19382","US","abuse@privatesystems.net","PrivateSystems Networks Abuse","108.160.152.0/22","+1-866-332-9894","PrivateSystems Networks GA","privatesystems.net","hosting",,,,false,false,false,false,true,""
"104.18.147.68",,,,true,"San Francisco","California","US","94107","37.7621,-122.3971","America/Los_Angeles","AS13335","Cloudflare, Inc.","cloudflare.com","104.18.144.0/20","hosting","US, CA, San Francisco, 101 Townsend Street, 94107","US","abuse@cloudflare.com","Abuse","104.16.0.0/12","+1-650-319-8930","Cloudflare, Inc.","cloudflare.com","hosting",,,,false,false,false,false,true,""
