b,d,n,r,u,c,a,q,domain,f,P,t,p
RC,abc45.com,WXLV - Winston-Salem,H,https://mediabiasfactcheck.com/wxlv-winston-salem-bias/,H,L,[],abc45.com,,,,
RC,abc6onyourside.com,WSYX - ABC6onyourside.com,H,https://mediabiasfactcheck.com/wsyx-abc6onyourside-com-bias/,H,M,[],abc6onyourside.com,,,,
RC,abc7amarillo.com,KVII - Amarillo News,H,https://mediabiasfactcheck.com/kvii-amarillo-news-bias/,H,M,[],abc7amarillo.com,,,,
C,abc7chicago.com,ABC7chicago.com,H,https://mediabiasfactcheck.com/abc7chicago-com/,H,H,[],abc7chicago.com,,78.0,,
LC,abc7news.com,KGO - ABC7 News,H,https://mediabiasfactcheck.com/kgo-abc7-news-bias/,H,H,[],abc7news.com,,,,
C,abc7ny.com,ABC7 New York,H,https://mediabiasfactcheck.com/abc7-new-york/,H,H,[],abc7ny.com,,87.0,,
FN,abcbusinessnews.com,Experience Awareness (AbcBusinessNews.com),M,https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/,L,N,"['C', 'P', 'LT', 'FC', 'M', 'FN', 'PSE', 'IM']",abcbusinessnews.com,,15.0,,
FN,abcnews-us.com,abcnews-us.com,VL,https://mediabiasfactcheck.com/abcnews-us-com/,L,N,[],abcnews-us.com,,20.0,,
LC,abcnews.go.com,ABC News,H,https://mediabiasfactcheck.com/abc-news/,H,H,[],abcnews.go.com,abcnews,97.0,ABC,
RC,abcnews4.com,WCIV - Charleston News,H,https://mediabiasfactcheck.com/wciv-charleston-news-bias/,H,M,[],abcnews4.com,,,,
RC,abcstlouis.com,KDNL - St. Louis News,H,https://mediabiasfactcheck.com/kdnl-st-louis-news-bias/,H,M,[],abcstlouis.com,,,,
CP,abeldanger.org,Abel Danger,M,https://mediabiasfactcheck.com/abel-danger/,L,N,[],abeldanger.org,,36.0,,
R,abort73.com,Abort73,M,https://mediabiasfactcheck.com/abort73/,M,L,[],abort73.com,,,,
LC,abovethelaw.com,Above the Law,H,https://mediabiasfactcheck.com/above-the-law/,H,M,[],abovethelaw.com,abovethelawblog,81.0,atlblog,
CP,abovetopsecret.com,Above Top Secret,L,https://mediabiasfactcheck.com/above-top-secret/,L,M,[],abovetopsecret.com,atsnews,64.0,,
RC,abqjournal.com,Albuquerque Journal,H,https://mediabiasfactcheck.com/albuquerque-journal/,H,M,[],abqjournal.com,TheAlbuquerqueJournal,81.0,abqjournal,
S,abriluno.com,Abril Uno,,https://mediabiasfactcheck.com/abril-uno/,NA,N,[],abriluno.com,,33.0,,
R,ac2news.com,Against Crony Capitalism,MF,https://mediabiasfactcheck.com/against-crony-capitialism/,M,L,[],ac2news.com,AgainstCronyCapitalism,30.0,,
R,academia.org,Accuracy in Academia (AIA),M,https://mediabiasfactcheck.com/accuracy-in-academia-aia/,M,L,[],academia.org,AccuracyInAcademia,53.0,CampusReport,
CP,acallforanuprising.com,A Call for an Uprising,L,https://mediabiasfactcheck.com/a-call-for-an-uprising/,L,M,[],acallforanuprising.com,,,,
L,accountable.us,Accountable.US,MF,https://mediabiasfactcheck.com/accountable-us/,M,L,[],accountable.us,,,,
R,acculturated.com,Acculturated,MF,https://mediabiasfactcheck.com/acculturated/,M,L,[],acculturated.com,Acculturated,48.0,,
S,aceflashman.wordpress.com,Ace Flashman,,https://mediabiasfactcheck.com/ace-flashman/,NA,N,[],aceflashman.wordpress.com,,21.0,,
LC,aceshowbiz.com,AceShowbiz (ASB),M,https://mediabiasfactcheck.com/aceshowbiz-asb/,M,M,[],aceshowbiz.com,,66.0,,
L,achnews.org,ACHNews,MF,https://mediabiasfactcheck.com/achnews/,M,N,[],achnews.org,,23.0,,
R,aclj.org,American Center for Law & Justice (ACLJ),M,https://mediabiasfactcheck.com/american-center-law-justice-aclj/,M,M,[],aclj.org,JaySekulow,76.0,JordanSekulow,
LC,aclu.org,ACLU,M,https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/,M,M,[],aclu.org,aclu,92.0,ACLU,
FN,acpeds.org,American College of Pediatricians,M,https://mediabiasfactcheck.com/american-college-of-pediatricians/,L,L,"['PS', 'FFC', 'M', 'H', 'PSE']",acpeds.org,,56.0,,
RC,acsh.org,American Council on Science and Health (ACSH),H,https://mediabiasfactcheck.com/american-council-on-science-and-health/,H,M,[],acsh.org,ACSHorg,62.0,acshorg,
L,act.tv,Act.TV,MF,https://mediabiasfactcheck.com/act-tv/,M,L,[],act.tv,actdottv,35.0,actdottv,
FN,acting-man.com,Acting Man,M,https://mediabiasfactcheck.com/acting-man/,L,L,"['PS', 'LT']",acting-man.com,,59.0,,
FN,actionnews3.com,Action News 3,VL,https://mediabiasfactcheck.com/action-news-3/,L,L,"['LT', 'FN', 'IM']",actionnews3.com,,22.0,,
C,actionnews5.com,WMC - Memphis News,H,https://mediabiasfactcheck.com/wmc-memphis-news-bias/,H,M,[],actionnews5.com,,,,
C,actionnewsjax.com,ActionNewsJax.com,H,https://mediabiasfactcheck.com/actionnewsjax-com/,H,M,[],actionnewsjax.com,,56.0,,
C,actionnewsnow.com,KHSL - Chico News,H,https://mediabiasfactcheck.com/khsl-chico-news-bias/,H,M,[],actionnewsnow.com,,,,
R,acton.org,Acton Institute,M,https://mediabiasfactcheck.com/acton-institute/,M,L,[],acton.org,,,,
C,ad.nl,Algemeen Dagblad,H,https://mediabiasfactcheck.com/algemeen-dagblad/,H,H,[],ad.nl,,71.0,,
PS,adaa.org,Anxiety and Depression Association of America (ADAA),VH,https://mediabiasfactcheck.com/anxiety-and-depression-association-of-america-adaa/,H,M,[],adaa.org,AnxietyAndDepressionAssociationOfAmerica,82.0,ADAAConference,
LC,adaderana.lk,Ada Derana,M,https://mediabiasfactcheck.com/ada-derana-bias/,M,M,[],adaderana.lk,,,,
FN,adamscountytimes.com,Adams County Times,M,https://mediabiasfactcheck.com/adams-county-times/,L,L,"['LT', 'FC', 'IM']",adamscountytimes.com,,,,
FN,adareporter.com,Ada Reporter,M,https://mediabiasfactcheck.com/ada-reporter/,L,L,"['LT', 'FC', 'IM']",adareporter.com,,,,
L,addictinginfo.com,Addicting Info,M,https://mediabiasfactcheck.com/addicting-info/,M,N,[],addictinginfo.com,AddictingInfoOrg,65.0,AddInfoOrg,
CP,additudemag.com,ADDitude Magazine,M,https://mediabiasfactcheck.com/additude-magazine/,L,M,[],additudemag.com,,,,
R,adelaidenow.com.au,The Advertiser,M,https://mediabiasfactcheck.com/the-advertiser/,M,M,[],adelaidenow.com.au,theadvertiser,63.0,TrueCrimeAus,
FN,adflegal.org,Alliance Defending Freedom,L,https://mediabiasfactcheck.com/alliance-defending-freedom/,L,M,"['P', 'H']",adflegal.org,AllianceDefendingFreedom,80.0,alliancedefends,
C,adfontesmedia.com,Ad Fontes Media,H,https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/,H,M,[],adfontesmedia.com,adfontesmedia,38.0,adfontesmedia,
LC,adl.org,Anti-Defamation League (ADL),H,https://mediabiasfactcheck.com/anti-defamation-league/,H,M,[],adl.org,anti.defamation.league,84.0,ADL,
C,adn.com,Anchorage Daily News,H,https://mediabiasfactcheck.com/anchorage-daily-news/,H,M,[],adn.com,,65.0,,
S,adobochronicles.com,Adobo Chronicles,,https://mediabiasfactcheck.com/the-adobo-chronicles/,NA,L,[],adobochronicles.com,TheAdoboChronicles,42.0,AdoboChronicles,
C,advocate-news.com,FT Bragg Advocate-News,H,https://mediabiasfactcheck.com/ft-bragg-advocate-news/,H,L,[],advocate-news.com,,,,
L,advocate.com,The Advocate,H,https://mediabiasfactcheck.com/advocate/,H,M,[],advocate.com,TheAdvocate,86.0,TheAdvocateMag,
C,adweek.com,Adweek,H,https://mediabiasfactcheck.com/adweek/,H,M,[],adweek.com,,,,
CP,ae911truth.org,Architects & Engineers for 9/11 Truth,M,https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/,L,L,[],ae911truth.org,ae911truth,79.0,,
R,aei.org,American Enterprise Institute,M,https://mediabiasfactcheck.com/american-enterprise-institute/,M,M,[],aei.org,aei,84.0,AEI,
LC,aeon.co,Aeon,H,https://mediabiasfactcheck.com/aeon/,H,M,[],aeon.co,AeonMagazine,81.0,aeonmag,
FN,afa.net,American Family Association,L,https://mediabiasfactcheck.com/american-family-association/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'M', 'H']",afa.net,American-Family-Association,76.0,americanfamassc,
LC,affinitymagazine.us,Affinity Magazine,M,https://mediabiasfactcheck.com/affinity-magazine/,M,L,[],affinitymagazine.us,,49.0,,
L,afj.org,Alliance for Justice (AFJ),H,https://mediabiasfactcheck.com/alliance-for-justice-afj/,H,L,[],afj.org,AllianceforJustice,61.0,AFJustice,
FN,afn.net,American Family News,L,https://mediabiasfactcheck.com/onenewsnow/,L,M,"['C', 'P', 'FFC', 'M']",afn.net,onenewsnowcom,68.0,onenewsnowcom,
C,afp.com,Agence France-Presse (AFP),H,https://mediabiasfactcheck.com/afp-agence-france-presse/,H,H,[],afp.com,AFPnewsenglish,92.0,AFPFR,
R,afpc.org,American Foreign Policy Council,MF,https://mediabiasfactcheck.com/american-foreign-policy-council/,M,L,[],afpc.org,americanforeignpolicycouncil,54.0,afpc,
RC,afr.com,The Australian Financial Review,H,https://mediabiasfactcheck.com/the-australian-financial-review/,H,M,[],afr.com,financialreview,89.0,FinancialReview,
C,africacheck.org,Africa Check,VH,https://mediabiasfactcheck.com/africa-check/,H,M,[],africacheck.org,AfricaCheck,66.0,AfricaCheck,
LC,africanarguments.org,African Arguments,H,https://mediabiasfactcheck.com/african-arguments/,H,L,[],africanarguments.org,africanarguments,57.0,,
LC,africanews.com,Africa News,MF,https://mediabiasfactcheck.com/africa-news/,H,M,[],africanews.com,africanews.channel,77.0,africanews,
FN,africanexponent.com,The African Exponent,M,https://mediabiasfactcheck.com/the-african-exponent/,L,L,"['PS', 'LT', 'FFC', 'FC', 'M']",africanexponent.com,,,,
L,aftonbladet.se,Aftonbladet,M,https://mediabiasfactcheck.com/aftonbladet/,M,H,[],aftonbladet.se,,,,
LC,agassizharrisonobserver.com,Agassiz-Harrison Observer,H,https://mediabiasfactcheck.com/agassiz-harrison-observer-bias/,H,L,[],agassizharrisonobserver.com,,,,
C,agdaily.com,AgDaily,H,https://mediabiasfactcheck.com/agdaily/,H,L,[],agdaily.com,,41.0,,
CP,ageofautism.com,Age of Autism,L,https://mediabiasfactcheck.com/age-of-autism/,L,L,[],ageofautism.com,Age,67.0,AgeofAutism,
FN,ageofshitlords.com,Age of Shitlords,L,https://mediabiasfactcheck.com/age-of-shitlords/,L,N,[],ageofshitlords.com,,39.0,ageofshitlords,
C,agerpres.ro,Agerpres,H,https://mediabiasfactcheck.com/agerpres/,H,M,[],agerpres.ro,AGERPRES,77.0,,
LC,agriculture.com,Successful Farming Magazine,H,https://mediabiasfactcheck.com/successful-farming-magazine-bias/,H,M,[],agriculture.com,,,,
PS,agu.org,American Geophysical Union (AGU),VH,https://mediabiasfactcheck.com/american-geophysical-union-agu/,H,M,[],agu.org,AmericanGeophysicalUnion,75.0,theAGU,
C,agweb.com,AgWeb,H,https://mediabiasfactcheck.com/agweb/,H,M,[],agweb.com,,55.0,,
CP,ahtribune.com,American Herald Tribune,M,https://mediabiasfactcheck.com/american-herald-tribune/,L,N,[],ahtribune.com,,52.0,AhTribune,
LC,ahvalnews.com,Ahval News,M,https://mediabiasfactcheck.com/ahval-news/,M,M,[],ahvalnews.com,,55.0,,
L,aidc.org.za/amandla-media,Amandla,H,https://mediabiasfactcheck.com/amandla/,H,L,[],aidc.org.za/amandla-media,amandlamedia,43.0,AmandlaMedia,/amandla-media
RC,aier.org,American Institute for Economic Research,M,https://mediabiasfactcheck.com/american-institute-for-economic-research/,M,M,[],aier.org,aierdotorg,53.0,aier,
R,aim.org,Accuracy in Media,M,https://mediabiasfactcheck.com/accuracy-in-media-aim/,M,L,[],aim.org,AccuracyInMedia,75.0,AccuracyInMedia,
CP,aim4truth.org,American Intelligence Media,VL,https://mediabiasfactcheck.com/american-intelligence-media/,L,L,[],aim4truth.org,,44.0,,
R,aina.org,Assyrian International News Agency,M,https://mediabiasfactcheck.com/assyrian-international-news-agency/,M,L,[],aina.org,,66.0,,
PS,aip.org,American Institute of of Physics,VH,https://mediabiasfactcheck.com/the-american-institute-of-physics/,H,M,[],aip.org,,83.0,,
C,airforcetimes.com,Air Force Times,H,https://mediabiasfactcheck.com/air-force-times/,H,M,[],airforcetimes.com,,,,
PS,airspacemag.com,Air and Space Mag,VH,https://mediabiasfactcheck.com/air-space-magazine/,H,M,[],airspacemag.com,AirSpaceMag,58.0,airspacemag,
C,airwars.org,Airwars,H,https://mediabiasfactcheck.com/airwars/,H,L,[],airwars.org,,66.0,airwars,
R,aish.com,Aish.com,M,https://mediabiasfactcheck.com/aish-com/,M,M,[],aish.com,,,,
PS,ajaonline.org,American Journal of Archaeology,VH,https://mediabiasfactcheck.com/american-journal-of-archaeology/,H,L,[],ajaonline.org,aja.journal,37.0,,
LC,ajc.com,Atlanta Journal-Constitution,H,https://mediabiasfactcheck.com/atlanta-journal-constitution/,H,H,[],ajc.com,ajc,91.0,ajc,
PS,ajph.aphapublications.org,American Journal of Public Health (AJPH),VH,https://mediabiasfactcheck.com/american-journal-of-public-health-ajph/,H,M,[],ajph.aphapublications.org,,,,
FN,ajuanews.com,AjuaNews.com,VL,https://mediabiasfactcheck.com/ajuanews-com/,L,N,[],ajuanews.com,,8.0,,
L,akkadiantimes.com,Akkadian Times,H,https://mediabiasfactcheck.com/akkadian-times/,NA,N,[],akkadiantimes.com,,14.0,,
LC,al-monitor.com,Al Monitor,H,https://mediabiasfactcheck.com/al-monitor/,H,M,[],al-monitor.com,almonitor,73.0,almonitor,
LC,al-sura.com,Al-Sura,M,https://mediabiasfactcheck.com/al-sura/,M,L,[],al-sura.com,AlSuraEnglish,25.0,,
RC,al.com,Al.com (Alabama News),H,https://mediabiasfactcheck.com/al-com-alabama-news/,H,H,[],al.com,aldotcom,89.0,aldotcom,
C,alabamanow.com,Alabama Now,H,https://mediabiasfactcheck.com/alabama-now-bias/,H,M,[],alabamanow.com,,,,
LC,alaraby.co.uk,The New Arab,MF,https://mediabiasfactcheck.com/the-new-arab/,H,M,[],alaraby.co.uk,AlAraby.en,70.0,alaraby_ar,
C,alaskasnewssource.com,KTUU-TV,H,https://mediabiasfactcheck.com/ktuu-tv/,H,M,[],alaskasnewssource.com,,51.0,,
FN,albanystandard.com,Albany Standard,M,https://mediabiasfactcheck.com/albany-standard/,L,L,"['LT', 'FC', 'IM']",albanystandard.com,,,,
FN,albawaba.com,Al Bawaba,M,https://mediabiasfactcheck.com/al-bawaba/,L,M,"['P', 'PS', 'LT', 'FFC']",albawaba.com,AlBawabaNews,72.0,AlBawabaEnglish,
LC,albernivalleynews.com,Port Alberni Valley News,H,https://mediabiasfactcheck.com/port-alberni-valley-news-bias/,H,L,[],albernivalleynews.com,,,,
R,albertapressleader.ca,Alberta Press Leader,M,https://mediabiasfactcheck.com/alberta-press-leader/,M,L,[],albertapressleader.ca,,,,
LC,albertaviews.ca,Alberta Views,H,https://mediabiasfactcheck.com/alberta-views-bias/,H,L,[],albertaviews.ca,,32.0,,
LC,aldergrovestar.com,Aldergrove Star,H,https://mediabiasfactcheck.com/aldergrove-star-bias/,H,L,[],aldergrovestar.com,,,,
L,aldianews.com,Al DIA,M,https://mediabiasfactcheck.com/al-dia/,M,M,[],aldianews.com,,,,
R,alec.org,American Legislative Exchange Council (ALEC),M,https://mediabiasfactcheck.com/american-legislative-exchange-council-alec/,M,L,[],alec.org,alec.states,70.0,alec_states,
RC,aleteia.org,Aleteia,M,https://mediabiasfactcheck.com/aleteia/,M,H,[],aleteia.org,,,,
CP,alexanderhiggins.com,Higgins News Network,M,https://mediabiasfactcheck.com/higgins-news-network/,L,N,[],alexanderhiggins.com,HigginsNewsNetwork,58.0,,
RC,algemeiner.com,The Algemeiner Journal,H,https://mediabiasfactcheck.com/the-algemeiner-journal/,H,M,[],algemeiner.com,Algemeiner,58.0,,
FN,alhayat.com,Al-Hayat,M,https://mediabiasfactcheck.com/al-hayat/,L,N,[],alhayat.com,alhayatdaily,76.0,alhayatdaily,
LC,aljazeera.com,Al Jazeera,M,https://mediabiasfactcheck.com/al-jazeera/,M,H,[],aljazeera.com,aljazeera,96.0,AJEnglish,
C,allafrica.com,AllAfrica,H,https://mediabiasfactcheck.com/allafrica/,H,M,[],allafrica.com,,,,
LC,allgov.com,AllGov,H,https://mediabiasfactcheck.com/allgov/,H,L,[],allgov.com,AllGov,63.0,,
CP,allianceforadvancedhealth.com,Alliance for Advanced Health,M,https://mediabiasfactcheck.com/alliance-advanced-health/,L,L,[],allianceforadvancedhealth.com,,30.0,,
PS,allianceforscience.cornell.edu,Alliance for Science,H,https://mediabiasfactcheck.com/alliance-for-science/,H,H,[],allianceforscience.cornell.edu,,,,
LC,alliedprogress.org,Allied Progress,H,https://mediabiasfactcheck.com/allied-progress/,H,L,[],alliedprogress.org,,39.0,,
L,alligator.com,Independent Flordia Alligator,H,https://mediabiasfactcheck.com/the-independent-florida-alligator/,H,L,[],alligator.com,,,,
FN,allnewspipeline.com,All News Pipeline,L,https://mediabiasfactcheck.com/all-news-pipeline/,L,M,"['C', 'P', 'FFC']",allnewspipeline.com,,56.0,,
L,allthatsfab.com,All That's Fab,M,https://mediabiasfactcheck.com/all-thats-fab/,M,L,[],allthatsfab.com,allthatsfab,35.0,,
FN,almasdarnews.com,Al-Masdar News,M,https://mediabiasfactcheck.com/al-masdar-news-amn/,L,L,"['P', 'PS', 'LT']",almasdarnews.com,TheArabSource,66.0,thearabsource,
FN,alohastatenews.com,Aloha State News,M,https://mediabiasfactcheck.com/aloha-state-news/,L,L,"['LT', 'FC', 'IM']",alohastatenews.com,,,,
FN,alphanews.org,Alpha News,L,https://mediabiasfactcheck.com/alpha-news/,L,L,"['C', 'P', 'PS', 'LT', 'FFC', 'FC', 'M', 'H']",alphanews.org,AlphaNewsMN,46.0,,
C,alreporter.com,Alabama Political Reporter,H,https://mediabiasfactcheck.com/alabama-political-reporter/,H,M,[],alreporter.com,alreporter,49.0,,
CP,alt-market.com,Alt-Market,M,https://mediabiasfactcheck.com/alt-market/,L,N,[],alt-market.com,,59.0,,
CP,altermedzentrum.com,Altermed Zentrum,VL,https://mediabiasfactcheck.com/altermed-zentrum-bias/,L,L,[],altermedzentrum.com,,,,
S,alternative-science.com,Alternative Science,,https://mediabiasfactcheck.com/alternative-science/,NA,L,[],alternative-science.com,bringthepixel,27.0,bringthepixel,
S,alternativelyfacts.com,Alternative Facts,,https://mediabiasfactcheck.com/alternative-facts/,NA,L,[],alternativelyfacts.com,,25.0,,
CP,alternativenews.com,AlternativeNews.com,L,https://mediabiasfactcheck.com/alternativenews-com/,L,L,[],alternativenews.com,,41.0,,
CP,alternativenewsnetwork.net,Alternative News Network,M,https://mediabiasfactcheck.com/alternative-news-network/,L,N,[],alternativenewsnetwork.net,alternativenewsnetwork.SR,29.0,,
